2015-11-22 17:08:07,407 C = 6
2015-11-22 17:22:07,361      test-rmse-mean  test-rmse-std  train-rmse-mean  train-rmse-std
0          5.438392       0.005033         5.437079        0.001690
1          4.125563       0.004286         4.121726        0.000862
2          3.278773       0.003126         3.273122        0.000889
3          2.753573       0.004535         2.744357        0.002844
4          2.440547       0.008405         2.428672        0.001769
5          2.259835       0.010381         2.244062        0.000941
6          2.149541       0.012678         2.131302        0.002570
7          2.083013       0.012340         2.062055        0.001834
8          2.039570       0.013096         2.016226        0.003508
9          2.007404       0.013894         1.982415        0.003564
10         1.979653       0.013752         1.952995        0.000734
11         1.960767       0.013492         1.931508        0.001626
12         1.945005       0.012312         1.913887        0.002033
13         1.931150       0.013447         1.898158        0.000606
14         1.917128       0.014181         1.882392        0.000745
15         1.904740       0.014320         1.868341        0.001095
16         1.893759       0.014636         1.854854        0.001132
17         1.885321       0.014955         1.843759        0.001687
18         1.876475       0.015111         1.833439        0.001255
19         1.868682       0.013906         1.823019        0.000477
20         1.860246       0.014232         1.812087        0.000663
21         1.853865       0.013770         1.804429        0.000726
22         1.846934       0.014075         1.795718        0.000719
23         1.841216       0.014031         1.788375        0.000742
24         1.835874       0.014378         1.781067        0.001309
25         1.829138       0.014402         1.772547        0.001591
26         1.824423       0.014797         1.765588        0.002333
27         1.819590       0.014586         1.759194        0.002209
28         1.814840       0.013730         1.752723        0.001235
29         1.811680       0.013658         1.747389        0.001038
..              ...            ...              ...             ...
470        1.668275       0.007741         1.277018        0.002316
471        1.668316       0.007863         1.276406        0.002368
472        1.668269       0.007747         1.275975        0.002422
473        1.668241       0.007793         1.275618        0.002372
474        1.668228       0.007838         1.275227        0.002408
475        1.668214       0.007769         1.274811        0.002354
476        1.668188       0.007808         1.274410        0.002255
477        1.668196       0.007792         1.274036        0.002328
478        1.668207       0.007768         1.273533        0.002175
479        1.668110       0.007730         1.273100        0.002224
480        1.668106       0.007859         1.272670        0.002309
481        1.668179       0.007823         1.272076        0.002393
482        1.668179       0.007862         1.271624        0.002398
483        1.668172       0.007864         1.271289        0.002439
484        1.668141       0.007890         1.270914        0.002439
485        1.668153       0.007846         1.270480        0.002389
486        1.668193       0.007888         1.270158        0.002403
487        1.668118       0.007866         1.269785        0.002388
488        1.668091       0.007868         1.269392        0.002454
489        1.668114       0.007853         1.268945        0.002367
490        1.668010       0.007776         1.268547        0.002414
491        1.667946       0.007813         1.268096        0.002419
492        1.667895       0.007877         1.267654        0.002415
493        1.667930       0.007836         1.267212        0.002387
494        1.667915       0.007842         1.266868        0.002369
495        1.667939       0.007873         1.266510        0.002358
496        1.667959       0.007855         1.266186        0.002363
497        1.667946       0.007778         1.265717        0.002548
498        1.667984       0.007828         1.265242        0.002580
499        1.667996       0.007765         1.264876        0.002642

[500 rows x 4 columns]
2015-11-22 17:22:07,424 C = 7
2015-11-22 17:38:45,939      test-rmse-mean  test-rmse-std  train-rmse-mean  train-rmse-std
0          5.430792       0.004118         5.428332        0.001758
1          4.110758       0.003037         4.105920        0.001447
2          3.259811       0.002113         3.251138        0.003138
3          2.732091       0.007227         2.718623        0.003007
4          2.417419       0.006752         2.397814        0.003935
5          2.232554       0.009261         2.207600        0.001790
6          2.121893       0.009899         2.092833        0.002046
7          2.053079       0.008670         2.020287        0.003211
8          2.009044       0.008462         1.972851        0.003669
9          1.977300       0.010174         1.937169        0.001376
10         1.953175       0.010234         1.909782        0.000476
11         1.933333       0.009673         1.887595        0.000510
12         1.917590       0.009863         1.869070        0.000946
13         1.902537       0.012996         1.850929        0.003443
14         1.889860       0.012965         1.836071        0.004691
15         1.879942       0.012858         1.822328        0.004403
16         1.870633       0.011926         1.809884        0.003547
17         1.862397       0.011904         1.798781        0.004498
18         1.853319       0.011889         1.786249        0.004827
19         1.847185       0.011924         1.776948        0.004784
20         1.840244       0.011534         1.766424        0.005712
21         1.833606       0.010458         1.756988        0.005491
22         1.827360       0.010299         1.748254        0.004615
23         1.821371       0.010195         1.740151        0.003828
24         1.816710       0.010396         1.732998        0.004002
25         1.811548       0.010808         1.725697        0.003951
26         1.807540       0.010977         1.719031        0.003281
27         1.803543       0.010449         1.712177        0.002426
28         1.799794       0.010477         1.705873        0.002788
29         1.796123       0.009149         1.699878        0.003042
..              ...            ...              ...             ...
470        1.672021       0.007900         1.185543        0.005178
471        1.672024       0.007849         1.185058        0.005114
472        1.672062       0.007860         1.184663        0.005135
473        1.672059       0.007849         1.184259        0.005160
474        1.672019       0.007817         1.183680        0.005100
475        1.672016       0.007793         1.183256        0.005188
476        1.671978       0.007782         1.182813        0.005152
477        1.671969       0.007822         1.182143        0.005005
478        1.671983       0.007824         1.181786        0.005003
479        1.671987       0.007794         1.181374        0.004978
480        1.671947       0.007745         1.180749        0.005192
481        1.671980       0.007728         1.180253        0.005408
482        1.671817       0.007753         1.179644        0.005221
483        1.671859       0.007774         1.179241        0.005241
484        1.671877       0.007787         1.178801        0.005218
485        1.671883       0.007756         1.178321        0.005252
486        1.671894       0.007739         1.177979        0.005229
487        1.671873       0.007678         1.177579        0.005199
488        1.671869       0.007695         1.177155        0.005104
489        1.671908       0.007660         1.176747        0.005120
490        1.671766       0.007728         1.175690        0.004824
491        1.671594       0.007829         1.174782        0.004645
