2015-11-22 21:54:32,023 C = 6
2015-11-22 22:18:10,634      test-rmse-mean  test-rmse-std  train-rmse-mean  train-rmse-std
0          6.087523       0.005297         6.086397        0.002145
1          5.052575       0.004288         5.050547        0.001254
2          4.255824       0.002548         4.252661        0.001178
3          3.648630       0.004423         3.643679        0.000281
4          3.193738       0.004702         3.186898        0.000733
5          2.857270       0.007377         2.848497        0.001178
6          2.610932       0.005642         2.600056        0.002886
7          2.434672       0.007488         2.421101        0.001736
8          2.308934       0.009338         2.292455        0.003190
9          2.218867       0.009536         2.199744        0.003366
10         2.154608       0.009295         2.133874        0.003922
11         2.106516       0.010224         2.084149        0.002760
12         2.070831       0.010983         2.046664        0.003115
13         2.039440       0.010304         2.014327        0.004272
14         2.017049       0.010512         1.990844        0.004508
15         1.997482       0.010182         1.969577        0.003904
16         1.981745       0.008927         1.952005        0.004505
17         1.968877       0.009157         1.937818        0.004167
18         1.954690       0.011583         1.922553        0.001617
19         1.943762       0.010554         1.910152        0.002506
20         1.934766       0.010132         1.899893        0.003162
21         1.925966       0.009766         1.889798        0.003705
22         1.916637       0.009114         1.879677        0.004602
23         1.909663       0.009300         1.871343        0.004220
24         1.901664       0.009095         1.861917        0.004704
25         1.894900       0.010019         1.853521        0.004101
26         1.888465       0.009772         1.845710        0.003978
27         1.882194       0.010707         1.838001        0.002719
28         1.875371       0.009695         1.829817        0.003806
29         1.869675       0.009792         1.822968        0.003661
..              ...            ...              ...             ...
720        1.651454       0.008169         1.285799        0.003635
721        1.651461       0.008158         1.285440        0.003778
722        1.651432       0.008153         1.285148        0.003806
723        1.651413       0.008152         1.284924        0.003782
724        1.651347       0.008164         1.284656        0.003687
725        1.651329       0.008168         1.284452        0.003720
726        1.651259       0.008205         1.284182        0.003739
727        1.651267       0.008178         1.284012        0.003714
728        1.651267       0.008186         1.283671        0.003611
729        1.651280       0.008179         1.283461        0.003658
730        1.651163       0.008223         1.283075        0.003570
731        1.651142       0.008226         1.282769        0.003659
732        1.651119       0.008233         1.282443        0.003550
733        1.651087       0.008246         1.282147        0.003599
734        1.651112       0.008283         1.281932        0.003614
735        1.651089       0.008330         1.281597        0.003553
736        1.651084       0.008329         1.281383        0.003515
737        1.651085       0.008288         1.281146        0.003480
738        1.651081       0.008293         1.280946        0.003479
739        1.651062       0.008278         1.280709        0.003519
740        1.651046       0.008294         1.280496        0.003580
741        1.650968       0.008301         1.279997        0.003401
742        1.650958       0.008289         1.279774        0.003413
743        1.650954       0.008271         1.279515        0.003462
744        1.650954       0.008243         1.279253        0.003530
745        1.650921       0.008254         1.278975        0.003495
746        1.650924       0.008244         1.278711        0.003449
747        1.650948       0.008200         1.278495        0.003393
748        1.650942       0.008240         1.278162        0.003353
749        1.650901       0.008237         1.277931        0.003368

[750 rows x 4 columns]
