2015-11-22 21:04:15,576 C = 3
2015-11-22 21:11:46,034      test-rmse-mean  test-rmse-std  train-rmse-mean  train-rmse-std
0          5.472651       0.005778         5.473329        0.001872
1          4.186492       0.004567         4.185994        0.001268
2          3.367782       0.002876         3.366386        0.002621
3          2.865211       0.005636         2.863550        0.001906
4          2.567395       0.006392         2.565004        0.003376
5          2.395098       0.007354         2.392431        0.004902
6          2.293343       0.007662         2.289913        0.004676
7          2.231936       0.009087         2.228004        0.004192
8          2.190007       0.011278         2.185727        0.002260
9          2.161272       0.012832         2.156698        0.001840
10         2.138680       0.011777         2.133781        0.002415
11         2.117633       0.010439         2.112561        0.004805
12         2.101800       0.010686         2.095972        0.005230
13         2.086178       0.009858         2.080462        0.005194
14         2.072948       0.010049         2.066512        0.004946
15         2.060609       0.009485         2.054135        0.004742
16         2.048669       0.010173         2.041804        0.004250
17         2.037613       0.010071         2.030220        0.004043
18         2.027970       0.009257         2.019863        0.003851
19         2.018027       0.009292         2.010242        0.004530
20         2.008614       0.009441         2.000933        0.004090
21         2.000174       0.008864         1.992173        0.005393
22         1.992204       0.008169         1.984253        0.006142
23         1.984732       0.008019         1.976255        0.005791
24         1.976554       0.007891         1.967654        0.004403
25         1.970128       0.008011         1.960827        0.004110
26         1.963189       0.007366         1.953858        0.004093
27         1.956863       0.006782         1.947576        0.004438
28         1.951472       0.007098         1.941587        0.004466
29         1.945694       0.006905         1.935783        0.004179
..              ...            ...              ...             ...
470        1.691666       0.004230         1.570223        0.004343
471        1.691601       0.004310         1.569912        0.004308
472        1.691486       0.004333         1.569655        0.004310
473        1.691389       0.004318         1.569400        0.004299
474        1.691349       0.004361         1.569123        0.004356
475        1.691299       0.004361         1.568784        0.004270
476        1.691144       0.004458         1.568402        0.004187
477        1.691103       0.004512         1.568109        0.004144
478        1.691097       0.004454         1.567878        0.004144
479        1.691016       0.004452         1.567567        0.004102
480        1.690978       0.004444         1.567286        0.004105
481        1.690867       0.004406         1.566996        0.004085
482        1.690680       0.004237         1.566603        0.004297
483        1.690616       0.004193         1.566370        0.004340
484        1.690606       0.004175         1.566127        0.004348
485        1.690473       0.004245         1.565916        0.004333
486        1.690421       0.004277         1.565664        0.004310
487        1.690283       0.004237         1.565418        0.004311
488        1.690110       0.004129         1.565077        0.004420
489        1.690011       0.004077         1.564836        0.004442
490        1.689884       0.004070         1.564584        0.004422
491        1.689835       0.004105         1.564316        0.004385
492        1.689834       0.004133         1.564070        0.004357
493        1.689815       0.004104         1.563766        0.004397
494        1.689791       0.004061         1.563501        0.004394
495        1.689720       0.004099         1.563242        0.004352
496        1.689731       0.004089         1.562966        0.004377
497        1.689701       0.004129         1.562678        0.004418
498        1.689629       0.004124         1.562466        0.004400
499        1.689603       0.004109         1.562266        0.004377

[500 rows x 4 columns]
2015-11-22 21:11:46,082 C = 4
2015-11-22 21:21:59,369      test-rmse-mean  test-rmse-std  train-rmse-mean  train-rmse-std
0          5.458662       0.004948         5.458188        0.001909
1          4.162548       0.002393         4.161279        0.001718
2          3.334310       0.004143         3.332205        0.004027
3          2.823919       0.004473         2.821404        0.003874
4          2.517118       0.009338         2.513031        0.001832
5          2.339025       0.008421         2.333982        0.004551
6          2.235897       0.008891         2.230520        0.005687
7          2.171596       0.010776         2.164450        0.003797
8          2.127913       0.010719         2.120495        0.003824
9          2.096016       0.010837         2.088028        0.004073
10         2.072470       0.010918         2.063822        0.004037
11         2.053727       0.010635         2.044015        0.004399
12         2.037391       0.011404         2.026716        0.003747
13         2.022237       0.010601         2.010906        0.004390
14         2.007944       0.010254         1.996670        0.005142
15         1.996504       0.010517         1.984552        0.004545
16         1.985132       0.009618         1.972640        0.005633
17         1.973614       0.009652         1.960380        0.005137
18         1.963732       0.009244         1.950022        0.005498
19         1.953951       0.010863         1.939594        0.004089
20         1.945993       0.009921         1.930790        0.004447
21         1.938227       0.010138         1.922254        0.003933
22         1.930944       0.009876         1.914232        0.003864
23         1.923784       0.009861         1.906403        0.004091
24         1.916496       0.010440         1.898604        0.003614
25         1.909129       0.009412         1.890386        0.004541
26         1.903547       0.009766         1.883493        0.003879
27         1.898066       0.009616         1.877136        0.003906
28         1.892352       0.009878         1.870921        0.004136
29         1.886754       0.009316         1.864254        0.004882
..              ...            ...              ...             ...
470        1.675191       0.009402         1.467643        0.002944
471        1.675184       0.009382         1.467189        0.002832
472        1.675208       0.009384         1.466822        0.002754
473        1.675181       0.009377         1.466464        0.002748
474        1.675148       0.009387         1.466086        0.002792
475        1.674956       0.009274         1.465634        0.002964
476        1.674906       0.009266         1.465334        0.002995
477        1.674772       0.009362         1.465001        0.003010
478        1.674683       0.009292         1.464576        0.003055
479        1.674689       0.009283         1.464262        0.003093
480        1.674704       0.009311         1.464037        0.003063
481        1.674679       0.009400         1.463773        0.003092
482        1.674585       0.009497         1.463350        0.003057
483        1.674593       0.009475         1.463022        0.003082
484        1.674571       0.009436         1.462792        0.003072
485        1.674518       0.009445         1.462423        0.003128
486        1.674519       0.009415         1.462209        0.003139
487        1.674522       0.009422         1.461904        0.003120
488        1.674474       0.009424         1.461575        0.003191
489        1.674472       0.009439         1.461122        0.003102
490        1.674451       0.009370         1.460843        0.003143
491        1.674386       0.009358         1.460572        0.003122
492        1.674280       0.009322         1.460211        0.003176
493        1.674167       0.009266         1.459839        0.003232
494        1.674215       0.009215         1.459629        0.003228
495        1.674251       0.009277         1.459291        0.003212
496        1.674162       0.009220         1.458930        0.003243
497        1.674121       0.009242         1.458603        0.003275
498        1.674121       0.009246         1.458284        0.003286
499        1.674044       0.009304         1.457976        0.003288

[500 rows x 4 columns]
2015-11-22 21:21:59,385 C = 5
2015-11-22 21:34:56,731      test-rmse-mean  test-rmse-std  train-rmse-mean  train-rmse-std
0          5.446407       0.004931         5.446008        0.001623
1          4.141364       0.003633         4.139527        0.001471
2          3.305070       0.003542         3.301295        0.002019
3          2.787920       0.006959         2.782223        0.001708
4          2.477607       0.008108         2.470555        0.002922
5          2.299313       0.010215         2.290578        0.001348
6          2.192553       0.009692         2.182679        0.004635
7          2.122666       0.006831         2.111615        0.007014
8          2.079107       0.008733         2.066463        0.006099
9          2.047475       0.009081         2.033720        0.005945
10         2.024302       0.009560         2.008631        0.005428
11         2.004342       0.008190         1.987102        0.006241
12         1.987427       0.009710         1.968859        0.006040
13         1.971160       0.009670         1.951858        0.005877
14         1.956998       0.009170         1.936133        0.005929
15         1.943472       0.007815         1.921741        0.007962
16         1.932440       0.008756         1.909894        0.007018
17         1.922532       0.009436         1.898596        0.006933
18         1.914398       0.009218         1.888945        0.006805
19         1.905544       0.007690         1.879038        0.007672
20         1.897007       0.009913         1.868674        0.007274
21         1.888090       0.008296         1.858421        0.007223
22         1.881305       0.008354         1.850934        0.006925
23         1.873648       0.010378         1.841812        0.005138
24         1.867883       0.010331         1.834246        0.004345
25         1.863005       0.010425         1.827702        0.004513
26         1.857564       0.011435         1.821001        0.004171
27         1.851230       0.009866         1.813507        0.005347
28         1.846190       0.009750         1.807785        0.005023
29         1.841870       0.009691         1.802512        0.004945
..              ...            ...              ...             ...
470        1.672059       0.009672         1.373701        0.001849
471        1.672079       0.009688         1.373339        0.001883
472        1.672039       0.009587         1.372866        0.001979
473        1.672028       0.009596         1.372578        0.002045
474        1.671991       0.009498         1.372083        0.002224
475        1.671982       0.009512         1.371511        0.002335
476        1.671834       0.009619         1.370834        0.002234
477        1.671806       0.009657         1.370443        0.002196
478        1.671743       0.009612         1.370010        0.002242
479        1.671674       0.009564         1.369578        0.002283
480        1.671631       0.009605         1.369213        0.002266
481        1.671545       0.009606         1.368922        0.002216
482        1.671492       0.009539         1.368358        0.002364
483        1.671262       0.009414         1.367881        0.002437
484        1.671238       0.009341         1.367479        0.002427
485        1.671204       0.009344         1.367140        0.002511
486        1.671187       0.009310         1.366712        0.002553
487        1.671154       0.009225         1.366391        0.002541
488        1.671066       0.009310         1.365965        0.002533
489        1.671079       0.009288         1.365617        0.002486
490        1.671059       0.009201         1.365267        0.002510
491        1.671021       0.009239         1.364897        0.002537
492        1.671078       0.009248         1.364580        0.002581
493        1.671122       0.009280         1.364214        0.002523
494        1.671161       0.009293         1.363840        0.002544
495        1.671210       0.009330         1.363350        0.002425
496        1.671233       0.009311         1.363072        0.002475
497        1.671283       0.009237         1.362725        0.002503
498        1.671205       0.009336         1.362282        0.002412
499        1.671167       0.009366         1.361930        0.002390

[500 rows x 4 columns]
